 time            v(tx_p)         v(final_out)   
 0.00000000e+00  9.00000000e-01  6.34724850e-01 
 1.00000000e-13  9.00062519e-01  6.34724850e-01 
 2.00000000e-13  9.00124728e-01  6.34724850e-01 
 4.00000000e-13  9.00248526e-01  6.34724850e-01 
 8.00000000e-13  9.00492448e-01  6.34724850e-01 
 1.60000000e-12  9.00965980e-01  6.34724850e-01 
 3.20000000e-12  9.01858803e-01  6.34724850e-01 
 6.40000000e-12  9.03450826e-01  6.34724850e-01 
 1.28000000e-11  9.06033086e-01  6.34724850e-01 
 2.28000000e-11  9.09109844e-01  6.34724850e-01 
 3.21563166e-11  9.11617638e-01  6.34724850e-01 
 4.21563166e-11  9.14548142e-01  6.34724850e-01 
 5.21563166e-11  9.18067000e-01  6.34724850e-01 
 6.21563166e-11  9.22267740e-01  6.34724850e-01 
 7.21563166e-11  9.27067824e-01  6.34724850e-01 
 8.21563166e-11  9.32286072e-01  6.34724850e-01 
 9.21563166e-11  9.37705458e-01  6.34724850e-01 
 1.02156317e-10  9.43117361e-01  6.34724850e-01 
 1.12156317e-10  9.48347693e-01  6.34724850e-01 
 1.22156317e-10  9.53267908e-01  6.34724850e-01 
 1.32156317e-10  9.57795043e-01  6.34724850e-01 
 1.42156317e-10  9.61885010e-01  6.34724850e-01 
 1.52156317e-10  9.65522763e-01  6.34724850e-01 
 1.62156317e-10  9.68712049e-01  6.34724850e-01 
 1.72156317e-10  9.71466453e-01  6.34724850e-01 
 1.82156317e-10  9.73802623e-01  6.34724850e-01 
 1.92156317e-10  9.75735855e-01  6.34724850e-01 
 2.02156317e-10  9.77277814e-01  6.34724850e-01 
 2.12156317e-10  9.78435909e-01  6.34724850e-01 
 2.22156317e-10  9.79213794e-01  6.34724850e-01 
 2.32156317e-10  9.79612472e-01  6.34724850e-01 
 2.42156317e-10  9.79631612e-01  6.34724850e-01 
 2.52156317e-10  9.79270785e-01  6.34724850e-01 
 2.62156317e-10  9.78530470e-01  6.34724850e-01 
 2.72156317e-10  9.77412757e-01  6.34724850e-01 
 2.82156317e-10  9.75921746e-01  6.34724850e-01 
 2.92156317e-10  9.74063704e-01  6.34724850e-01 
 3.02156317e-10  9.71847035e-01  6.34724850e-01 
 3.12156317e-10  9.69282141e-01  6.34724850e-01 
 3.22156317e-10  9.66381211e-01  6.34724850e-01 
 3.32156317e-10  9.63158017e-01  6.34724850e-01 
 3.42156317e-10  9.59627709e-01  6.34724850e-01 
 3.52156317e-10  9.55806648e-01  6.34724850e-01 
 3.62156317e-10  9.51712269e-01  6.34724850e-01 
 3.72156317e-10  9.47362978e-01  6.34724850e-01 
 3.82156317e-10  9.42778066e-01  6.34724850e-01 
 3.92156317e-10  9.37977642e-01  6.34724850e-01 
 4.02156317e-10  9.32982570e-01  6.34724850e-01 
 4.12156317e-10  9.27814410e-01  6.34724850e-01 
 4.22156317e-10  9.22495347e-01  6.34724850e-01 
 4.32156317e-10  9.17048126e-01  6.34724850e-01 
 4.42156317e-10  9.11495968e-01  6.34724850e-01 
 4.52156317e-10  9.05862486e-01  6.34724850e-01 
 4.62156317e-10  9.00171597e-01  6.34724850e-01 
 4.72156317e-10  8.94447422e-01  6.34724850e-01 
 4.82156317e-10  8.88714196e-01  6.34724850e-01 
 4.92156317e-10  8.82996162e-01  6.34724850e-01 
 5.02156317e-10  8.77317478e-01  6.34724850e-01 
 5.12156317e-10  8.71702115e-01  6.34724850e-01 
 5.22156317e-10  8.66173763e-01  6.34724850e-01 
 5.32156317e-10  8.60755738e-01  6.34724850e-01 
 5.42156317e-10  8.55470883e-01  6.34724850e-01 
 5.52156317e-10  8.50341483e-01  6.34724850e-01 
 5.62156317e-10  8.45389175e-01  6.34724850e-01 
 5.72156317e-10  8.40634864e-01  6.34724850e-01 
 5.82156317e-10  8.36098638e-01  6.34724850e-01 
 5.92156317e-10  8.31799692e-01  6.34724850e-01 
 6.02156317e-10  8.27756251e-01  6.34724850e-01 
 6.12156317e-10  8.23985497e-01  6.34724850e-01 
 6.22156317e-10  8.20503505e-01  6.34724850e-01 
 6.32156317e-10  8.17325175e-01  6.34724850e-01 
 6.42156317e-10  8.14464177e-01  6.34724850e-01 
 6.52156317e-10  8.11932895e-01  6.34724850e-01 
 6.62156317e-10  8.09742378e-01  6.34724850e-01 
 6.72156317e-10  8.07902298e-01  6.34724850e-01 
 6.82156317e-10  8.06420912e-01  6.34724850e-01 
 6.92156317e-10  8.05305025e-01  6.34724850e-01 
 7.02156317e-10  8.04559971e-01  6.34724850e-01 
 7.12156317e-10  8.04189585e-01  6.34724850e-01 
 7.22156317e-10  8.04196191e-01  6.34724850e-01 
 7.32156317e-10  8.04580594e-01  6.34724850e-01 
 7.42156317e-10  8.05342076e-01  6.34724850e-01 
 7.52156317e-10  8.06478398e-01  6.34724850e-01 
 7.62156317e-10  8.07985810e-01  6.34724850e-01 
 7.72156317e-10  8.09859068e-01  6.34724850e-01 
 7.82156317e-10  8.12091451e-01  6.34724850e-01 
 7.92156317e-10  8.14674792e-01  6.34724850e-01 
 8.02156317e-10  8.17599505e-01  6.34724850e-01 
 8.12156317e-10  8.20854631e-01  6.34724850e-01 
 8.22156317e-10  8.24427874e-01  6.34724850e-01 
 8.32156317e-10  8.28305655e-01  6.34724850e-01 
 8.42156317e-10  8.32473162e-01  6.34724850e-01 
 8.52156317e-10  8.36914414e-01  6.34724850e-01 
 8.62156317e-10  8.41612319e-01  6.34724850e-01 
 8.72156317e-10  8.46548745e-01  6.34724850e-01 
 8.82156317e-10  8.51704590e-01  6.34724850e-01 
 8.92156317e-10  8.57059862e-01  6.34724850e-01 
 9.02156317e-10  8.62593753e-01  6.34724850e-01 
 9.12156317e-10  8.68284725e-01  6.34724850e-01 
 9.22156317e-10  8.74110593e-01  6.34724850e-01 
 9.32156317e-10  8.80048616e-01  6.34724850e-01 
 9.42156317e-10  8.86075587e-01  6.34724850e-01 
 9.52156317e-10  8.92167921e-01  6.34724850e-01 
 9.62156317e-10  8.98301752e-01  6.34724850e-01 
 9.72156317e-10  9.04453029e-01  6.34724850e-01 
 9.82156317e-10  9.10597609e-01  6.34724850e-01 
 9.92156317e-10  9.16711351e-01  6.34724850e-01 
 1.00215632e-09  9.22770218e-01  6.34724850e-01 
 1.01215632e-09  9.28750366e-01  6.34724850e-01 
 1.02215632e-09  9.34628242e-01  6.34724850e-01 
 1.03215632e-09  9.40380677e-01  6.34724850e-01 
 1.04215632e-09  9.45984978e-01  6.34724850e-01 
 1.05215632e-09  9.51419018e-01  6.34724850e-01 
 1.06215632e-09  9.56661323e-01  6.34724850e-01 
 1.07215632e-09  9.61691160e-01  6.34724850e-01 
 1.08215632e-09  9.66488615e-01  6.34724850e-01 
 1.09215632e-09  9.71034677e-01  6.34724850e-01 
 1.10215632e-09  9.75311311e-01  6.34724850e-01 
 1.11215632e-09  9.79301529e-01  6.34724850e-01 
 1.12215632e-09  9.82989461e-01  6.34724850e-01 
 1.13215632e-09  9.86360414e-01  6.34724850e-01 
 1.14215632e-09  9.89400933e-01  6.34724850e-01 
 1.15215632e-09  9.92098855e-01  6.34724850e-01 
 1.16215632e-09  9.94443357e-01  6.34724850e-01 
 1.17215632e-09  9.96424998e-01  6.34724850e-01 
 1.18215632e-09  9.98035759e-01  6.34724850e-01 
 1.19215632e-09  9.99269075e-01  6.34724850e-01 
 1.20215632e-09  1.00011986e+00  6.34724850e-01 
 1.21215632e-09  1.00058452e+00  6.34724850e-01 
 1.22215632e-09  1.00066100e+00  6.34724850e-01 
 1.23215632e-09  1.00034875e+00  6.34724850e-01 
 1.24215632e-09  9.99648735e-01  6.34724850e-01 
 1.25215632e-09  9.98563473e-01  6.34724850e-01 
 1.26215632e-09  9.97096977e-01  6.34724850e-01 
 1.27215632e-09  9.95254762e-01  6.34724850e-01 
 1.28215632e-09  9.93043824e-01  6.34724850e-01 
 1.29215632e-09  9.90472605e-01  6.34724850e-01 
 1.30215632e-09  9.87550966e-01  6.34724850e-01 
 1.31215632e-09  9.84290150e-01  6.34724850e-01 
 1.32215632e-09  9.80702731e-01  6.34724850e-01 
 1.33215632e-09  9.76802572e-01  6.34724850e-01 
 1.34215632e-09  9.72604767e-01  6.34724850e-01 
 1.35215632e-09  9.68125584e-01  6.34724850e-01 
 1.36215632e-09  9.63382400e-01  6.34724850e-01 
 1.37215632e-09  9.58393630e-01  6.34724850e-01 
 1.38215632e-09  9.53178663e-01  6.34724850e-01 
 1.39215632e-09  9.47757778e-01  6.34724850e-01 
 1.40215632e-09  9.42152066e-01  6.34724850e-01 
 1.41215632e-09  9.36383351e-01  6.34724850e-01 
 1.42215632e-09  9.30474101e-01  6.34724850e-01 
 1.43215632e-09  9.24447339e-01  6.34724850e-01 
 1.44215632e-09  9.18326557e-01  6.34724850e-01 
 1.45215632e-09  9.12135616e-01  6.34724850e-01 
 1.46215632e-09  9.05898662e-01  6.34724850e-01 
 1.47215632e-09  8.99640022e-01  6.34724850e-01 
 1.48215632e-09  8.93384115e-01  6.34724850e-01 
 1.49215632e-09  8.87155351e-01  6.34724850e-01 
 1.50215632e-09  8.80978038e-01  6.34724850e-01 
 1.51215632e-09  8.74876287e-01  6.34724850e-01 
 1.52215632e-09  8.68873913e-01  6.34724850e-01 
 1.53215632e-09  8.62994346e-01  6.34724850e-01 
 1.54215632e-09  8.57260537e-01  6.34724850e-01 
 1.55215632e-09  8.51694867e-01  6.34724850e-01 
 1.56215632e-09  8.46319058e-01  6.34724850e-01 
 1.57215632e-09  8.41154090e-01  6.34724850e-01 
 1.58215632e-09  8.36220120e-01  6.34724850e-01 
 1.59215632e-09  8.31536395e-01  6.34724850e-01 
 1.60215632e-09  8.27121185e-01  6.34724850e-01 
 1.61215632e-09  8.22991706e-01  6.34724850e-01 
 1.62215632e-09  8.19164054e-01  6.34724850e-01 
 1.63215632e-09  8.15653141e-01  6.34724850e-01 
 1.64215632e-09  8.12472635e-01  6.34724850e-01 
 1.65215632e-09  8.09634911e-01  6.34724850e-01 
 1.66215632e-09  8.07150996e-01  6.34724850e-01 
 1.67215632e-09  8.05030529e-01  6.34724850e-01 
 1.68215632e-09  8.03281723e-01  6.34724850e-01 
 1.69215632e-09  8.01911334e-01  6.34724850e-01 
 1.70215632e-09  8.00924629e-01  6.34724850e-01 
 1.71215632e-09  8.00325372e-01  6.34724850e-01 
 1.72215632e-09  8.00115805e-01  6.34724850e-01 
 1.73215632e-09  8.00296640e-01  6.34724850e-01 
 1.74215632e-09  8.00867056e-01  6.34724850e-01 
 1.75215632e-09  8.01824705e-01  6.34724850e-01 
 1.76215632e-09  8.03165716e-01  6.34724850e-01 
 1.77215632e-09  8.04884716e-01  6.34724850e-01 
 1.78215632e-09  8.06974846e-01  6.34724850e-01 
 1.79215632e-09  8.09427793e-01  6.34724850e-01 
 1.80215632e-09  8.12233818e-01  6.34724850e-01 
 1.81215632e-09  8.15381798e-01  6.34724850e-01 
 1.82215632e-09  8.18859267e-01  6.34724850e-01 
 1.83215632e-09  8.22652469e-01  6.34724850e-01 
 1.84215632e-09  8.26746408e-01  6.34724850e-01 
 1.85215632e-09  8.31124908e-01  6.34724850e-01 
 1.86215632e-09  8.35770680e-01  6.34724850e-01 
 1.87215632e-09  8.40665386e-01  6.34724850e-01 
 1.88215632e-09  8.45789713e-01  6.34724850e-01 
 1.89215632e-09  8.51123451e-01  6.34724850e-01 
 1.90215632e-09  8.56645567e-01  6.34724850e-01 
 1.91215632e-09  8.62334295e-01  6.34724850e-01 
 1.92215632e-09  8.68167217e-01  6.34724849e-01 
 1.93215632e-09  8.74121352e-01  6.34724849e-01 
 1.94215632e-09  8.80173248e-01  6.34724849e-01 
 1.95215632e-09  8.86299072e-01  6.34724849e-01 
 1.96215632e-09  8.92474709e-01  6.34724849e-01 
 1.97215632e-09  8.98675848e-01  6.34724849e-01 
 1.98215632e-09  9.04878089e-01  6.34724849e-01 
 1.99107816e-09  9.10392757e-01  6.34724849e-01 
 2.00000000e-09  9.15871702e-01  6.34724848e-01 
