 time            v(final_out)   
 0.00000000e+00  6.34724851e-01 
 1.00000000e-13  6.34724851e-01 
 2.00000000e-13  6.34724851e-01 
 4.00000000e-13  6.34724851e-01 
 8.00000000e-13  6.34724851e-01 
 1.60000000e-12  6.34724851e-01 
 3.20000000e-12  6.34724851e-01 
 6.40000000e-12  6.34724851e-01 
 1.17985661e-11  6.34724851e-01 
 1.94592112e-11  6.34724850e-01 
 2.71679251e-11  6.34724850e-01 
 3.71679251e-11  6.34724849e-01 
 4.71679251e-11  6.34724847e-01 
 5.71679251e-11  6.34724845e-01 
 6.71679251e-11  6.34724844e-01 
 7.71679251e-11  6.34724843e-01 
 8.71679251e-11  6.34724844e-01 
 9.71679251e-11  6.34724845e-01 
 1.07167925e-10  6.34724847e-01 
 1.17167925e-10  6.34724849e-01 
 1.27167925e-10  6.34724851e-01 
 1.37167925e-10  6.34724853e-01 
 1.47167925e-10  6.34724854e-01 
 1.57167925e-10  6.34724853e-01 
 1.67167925e-10  6.34724852e-01 
 1.77167925e-10  6.34724850e-01 
 1.87167925e-10  6.34724847e-01 
 1.97167925e-10  6.34724845e-01 
 2.07167925e-10  6.34724843e-01 
 2.17167925e-10  6.34724842e-01 
 2.27167925e-10  6.34724842e-01 
 2.37167925e-10  6.34724843e-01 
 2.47167925e-10  6.34724845e-01 
 2.57167925e-10  6.34724847e-01 
 2.67167925e-10  6.34724849e-01 
 2.77167925e-10  6.34724850e-01 
 2.87167925e-10  6.34724851e-01 
 2.97167925e-10  6.34724850e-01 
 3.07167925e-10  6.34724849e-01 
 3.17167925e-10  6.34724847e-01 
 3.27167925e-10  6.34724845e-01 
 3.37167925e-10  6.34724843e-01 
 3.47167925e-10  6.34724841e-01 
 3.57167925e-10  6.34724841e-01 
 3.67167925e-10  6.34724841e-01 
 3.77167925e-10  6.34724842e-01 
 3.87167925e-10  6.34724843e-01 
 3.97167925e-10  6.34724845e-01 
 4.07167925e-10  6.34724847e-01 
 4.17167925e-10  6.34724848e-01 
 4.27167925e-10  6.34724848e-01 
 4.37167925e-10  6.34724848e-01 
 4.47167925e-10  6.34724847e-01 
 4.57167925e-10  6.34724845e-01 
 4.67167925e-10  6.34724843e-01 
 4.77167925e-10  6.34724842e-01 
 4.87167925e-10  6.34724840e-01 
 4.97167925e-10  6.34724840e-01 
 5.07167925e-10  6.34724840e-01 
